"","long","lat","group","order","region","subregion"
"1",-87.4620056152344,30.3896808624268,1,1,"alabama",NA
"2",-87.4849319458008,30.3724918365479,1,2,"alabama",NA
"3",-87.525032043457,30.3724918365479,1,3,"alabama",NA
"4",-87.53076171875,30.3323860168457,1,4,"alabama",NA
"5",-87.5708694458008,30.3266544342041,1,5,"alabama",NA
"6",-87.5880584716797,30.3266544342041,1,6,"alabama",NA
"7",-87.5937881469727,30.3094673156738,1,7,"alabama",NA
"8",-87.5937881469727,30.286548614502,1,8,"alabama",NA
"9",-87.6740036010742,30.275089263916,1,9,"alabama",NA
"10",-87.8115158081055,30.2579021453857,1,10,"alabama",NA
"11",-87.8802642822266,30.2464408874512,1,11,"alabama",NA
"12",-87.9203720092773,30.2464408874512,1,12,"alabama",NA
"13",-87.9547500610352,30.2464408874512,1,13,"alabama",NA
"14",-88.0063171386719,30.2407131195068,1,14,"alabama",NA
"15",-88.0177764892578,30.2521705627441,1,15,"alabama",NA
"16",-88.0120468139648,30.269359588623,1,16,"alabama",NA
"17",-87.9948577880859,30.275089263916,1,17,"alabama",NA
"18",-87.9547500610352,30.275089263916,1,18,"alabama",NA
"19",-87.9031829833984,30.2808208465576,1,19,"alabama",NA
"20",-87.8286972045898,30.286548614502,1,20,"alabama",NA
"21",-87.8000564575195,30.286548614502,1,21,"alabama",NA
"22",-87.8000564575195,30.3266544342041,1,22,"alabama",NA
"23",-87.8172378540039,30.3438453674316,1,23,"alabama",NA
"24",-87.8401565551758,30.3839530944824,1,24,"alabama",NA
"25",-87.8516235351562,30.4011421203613,1,25,"alabama",NA
"26",-87.8745346069336,30.4125995635986,1,26,"alabama",NA
"27",-87.9031829833984,30.4240608215332,1,27,"alabama",NA
"28",-87.9261016845703,30.4469795227051,1,28,"alabama",NA
"29",-87.9318313598633,30.4928131103516,1,29,"alabama",NA
"30",-87.9432907104492,30.527193069458,1,30,"alabama",NA
"31",-87.9203720092773,30.5615692138672,1,31,"alabama",NA
"32",-87.9146423339844,30.5844879150391,1,32,"alabama",NA
"33",-87.9261016845703,30.6188640594482,1,33,"alabama",NA
"34",-87.9203720092773,30.670431137085,1,34,"alabama",NA
"35",-87.9490203857422,30.6990776062012,1,35,"alabama",NA
"36",-87.989128112793,30.7907524108887,1,36,"alabama",NA
"37",-88.0063171386719,30.7964820861816,1,37,"alabama",NA
"38",-88.0177764892578,30.802209854126,1,38,"alabama",NA
"39",-88.0349655151367,30.7907524108887,1,39,"alabama",NA
"40",-88.0464248657227,30.7563762664795,1,40,"alabama",NA
"41",-88.0521545410156,30.727725982666,1,41,"alabama",NA
"42",-88.0521545410156,30.7105388641357,1,42,"alabama",NA
"43",-88.063606262207,30.6876201629639,1,43,"alabama",NA
"44",-88.0693435668945,30.6818885803223,1,44,"alabama",NA
"45",-88.0808029174805,30.6303253173828,1,45,"alabama",NA
"46",-88.0808029174805,30.6131362915039,1,46,"alabama",NA
"47",-88.0979919433594,30.6074066162109,1,47,"alabama",NA
"48",-88.1094436645508,30.5959453582764,1,48,"alabama",NA
"49",-88.1151809692383,30.5844879150391,1,49,"alabama",NA
"50",-88.1094436645508,30.5558376312256,1,50,"alabama",NA
"51",-88.1209106445312,30.4813556671143,1,51,"alabama",NA
"52",-88.1209106445312,30.4412479400635,1,52,"alabama",NA
"53",-88.1266403198242,30.3896808624268,1,53,"alabama",NA
"54",-88.1323699951172,30.3610343933105,1,54,"alabama",NA
"55",-88.1438293457031,30.3438453674316,1,55,"alabama",NA
"56",-88.161018371582,30.3381156921387,1,56,"alabama",NA
"57",-88.172477722168,30.3381156921387,1,57,"alabama",NA
"58",-88.1896591186523,30.3553047180176,1,58,"alabama",NA
"59",-88.2240447998047,30.3782234191895,1,59,"alabama",NA
"60",-88.2354965209961,30.3954105377197,1,60,"alabama",NA
"61",-88.2870635986328,30.4011421203613,1,61,"alabama",NA
"62",-88.3157119750977,30.4011421203613,1,62,"alabama",NA
"63",-88.3329010009766,30.4011421203613,1,63,"alabama",NA
"64",-88.35009765625,30.4240608215332,1,64,"alabama",NA
"65",-88.3902053833008,30.4125995635986,1,65,"alabama",NA
"66",-88.4073867797852,30.7334575653076,1,66,"alabama",NA
"67",-88.4188461303711,30.9970169067383,1,67,"alabama",NA
"68",-88.430305480957,31.123067855835,1,68,"alabama",NA
"69",-88.4532241821289,31.432466506958,1,69,"alabama",NA
"70",-88.4646835327148,31.6960258483887,1,70,"alabama",NA
"71",-88.4761428833008,31.8908290863037,1,71,"alabama",NA
"72",-88.430305480957,32.22314453125,1,72,"alabama",NA
"73",-88.430305480957,32.3090896606445,1,73,"alabama",NA
"74",-88.3902053833008,32.5783805847168,1,74,"alabama",NA
"75",-88.35009765625,32.9221534729004,1,75,"alabama",NA
"76",-88.3386306762695,32.985179901123,1,76,"alabama",NA
"77",-88.2985305786133,33.2831192016602,1,77,"alabama",NA
"78",-88.2756042480469,33.5294914245605,1,78,"alabama",NA
"79",-88.2526931762695,33.7357559204102,1,79,"alabama",NA
"80",-88.2068557739258,34.0623397827148,1,80,"alabama",NA
"81",-88.2068557739258,34.0795288085938,1,81,"alabama",NA
"82",-88.1839370727539,34.3144416809082,1,82,"alabama",NA
"83",-88.166748046875,34.4634094238281,1,83,"alabama",NA
"84",-88.1495513916016,34.5837326049805,1,84,"alabama",NA
"85",-88.1094436645508,34.8988571166992,1,85,"alabama",NA
"86",-88.1323699951172,34.9045906066895,1,86,"alabama",NA
"87",-88.166748046875,34.9504280090332,1,87,"alabama",NA
"88",-88.1896591186523,34.996265411377,1,88,"alabama",NA
"89",-88.1839370727539,35.0134506225586,1,89,"alabama",NA
"90",-87.989128112793,35.0134506225586,1,90,"alabama",NA
"91",-87.6052474975586,35.0077209472656,1,91,"alabama",NA
"92",-87.2270965576172,35.0019912719727,1,92,"alabama",NA
"93",-87.2041702270508,35.0019912719727,1,93,"alabama",NA
"94",-86.8260269165039,34.996265411377,1,94,"alabama",NA
"95",-86.7801895141602,34.9905319213867,1,95,"alabama",NA
"96",-86.3103637695312,34.9905319213867,1,96,"alabama",NA
"97",-85.8519973754883,34.9848022460938,1,97,"alabama",NA
"98",-85.6113510131836,34.9790725708008,1,98,"alabama",NA
"99",-85.5884399414062,34.8415641784668,1,99,"alabama",NA
"100",-85.5426025390625,34.6181106567383,1,100,"alabama",NA
"101",-85.5254058837891,34.5837326049805,1,101,"alabama",NA
"102",-85.4681167602539,34.2628746032715,1,102,"alabama",NA
"103",-85.4280090332031,34.0795288085938,1,103,"alabama",NA
"104",-85.4050903320312,33.9592094421387,1,104,"alabama",NA
"105",-85.3936309814453,33.907642364502,1,105,"alabama",NA
"106",-85.3477935791016,33.6612701416016,1,106,"alabama",NA
"107",-85.3134155273438,33.4951095581055,1,107,"alabama",NA
"108",-85.2962265014648,33.4320907592773,1,108,"alabama",NA
"109",-85.2446594238281,33.1169624328613,1,109,"alabama",NA
"110",-85.2389297485352,33.1054992675781,1,110,"alabama",NA
"111",-85.1930923461914,32.8705902099609,1,111,"alabama",NA
"112",-85.1930923461914,32.8591270446777,1,112,"alabama",NA
"113",-85.1701812744141,32.8419418334961,1,113,"alabama",NA
"114",-85.1472549438477,32.7903747558594,1,114,"alabama",NA
"115",-85.1300735473633,32.7674560546875,1,115,"alabama",NA
"116",-85.1300735473633,32.7502670288086,1,116,"alabama",NA
"117",-85.1243438720703,32.733081817627,1,117,"alabama",NA
"118",-85.1014175415039,32.67578125,1,118,"alabama",NA
"119",-85.1014175415039,32.6356735229492,1,119,"alabama",NA
"120",-85.0670394897461,32.6070289611816,1,120,"alabama",NA
"121",-85.0498580932617,32.5554618835449,1,121,"alabama",NA
"122",-85.0097503662109,32.5268173217773,1,122,"alabama",NA
"123",-84.9868316650391,32.4981651306152,1,123,"alabama",NA
"124",-84.992561340332,32.4695167541504,1,124,"alabama",NA
"125",-84.9753723144531,32.4236831665039,1,125,"alabama",NA
"126",-84.9810943603516,32.3778457641602,1,126,"alabama",NA
"127",-85.004020690918,32.3377380371094,1,127,"alabama",NA
"128",-84.9753723144531,32.3090896606445,1,128,"alabama",NA
"129",-84.9238052368164,32.2804412841797,1,129,"alabama",NA
"130",-84.9008865356445,32.2517929077148,1,130,"alabama",NA
"131",-84.9295349121094,32.2346076965332,1,131,"alabama",NA
"132",-84.9524536132812,32.228874206543,1,132,"alabama",NA
"133",-84.9696426391602,32.2002258300781,1,133,"alabama",NA
"134",-84.992561340332,32.1830368041992,1,134,"alabama",NA
"135",-85.0498580932617,32.1601181030273,1,135,"alabama",NA
"136",-85.0613098144531,32.1200141906738,1,136,"alabama",NA
"137",-85.0613098144531,32.1028251647949,1,137,"alabama",NA
"138",-85.0613098144531,32.085636138916,1,138,"alabama",NA
"139",-85.0613098144531,32.0627174377441,1,139,"alabama",NA
"140",-85.0613098144531,32.0283432006836,1,140,"alabama",NA
"141",-85.0613098144531,31.9939613342285,1,141,"alabama",NA
"142",-85.0785064697266,31.9595851898193,1,142,"alabama",NA
"143",-85.1071472167969,31.9366664886475,1,143,"alabama",NA
"144",-85.1415252685547,31.8679141998291,1,144,"alabama",NA
"145",-85.1358032226562,31.7876968383789,1,145,"alabama",NA
"146",-85.1358032226562,31.7762393951416,1,146,"alabama",NA
"147",-85.1300735473633,31.7304019927979,1,147,"alabama",NA
"148",-85.1186065673828,31.6845645904541,1,148,"alabama",NA
"149",-85.0785064697266,31.6158123016357,1,149,"alabama",NA
"150",-85.0613098144531,31.5585174560547,1,150,"alabama",NA
"151",-85.0613098144531,31.5241374969482,1,151,"alabama",NA
"152",-85.0842361450195,31.4783000946045,1,152,"alabama",NA
